user_id,email,first_name,last_name,npi,role,cme_id,title,credits,completion_date,activity_type,category,cme_provider,cme_state,certificate_number,certificate_url,notes,compliance_status,cme_created_at,cme_metadata
555e92b0-7a69-4cb7-829c-3b48968983cc,admin@blueshift.com,BlueShift,Administrator,,admin,,,,,,,,,,,,,,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,c6498ba4-8e4f-40dd-96cb-1696837ba73a,Clinical Practice Guidelines Update,3.8,2025-09-27,Course,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227512,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,e9bd06f0-c31f-400d-9e2b-6c7b3f7149d2,MI Opioid Prescribing Education,2.0,2025-08-12,Webinar,category_1,MI State Medical Board,MI,,,,compliant,2025-11-19T03:58:02.227766,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,9253df86-a38d-4617-8f12-5321c1def3c3,Quality Improvement in Healthcare,1.3,2025-07-29,Course,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227533,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,f82ae7cc-1bcd-4019-b248-ff953e0eab04,MD Cultural Competency Training,1.8,2025-07-13,Workshop,category_1,MD State Medical Board,MD,,,,compliant,2025-11-19T03:58:02.227815,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,dc281ab1-4393-4994-a252-d198296a98ad,Advanced Cardiac Life Support,2.4,2025-05-25,Conference,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227582,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,26d35c4e-b2e2-4998-9cd0-2a4930182813,Clinical Research Methods,2.0,2025-03-30,Conference,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227692,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,059d361f-c342-43ee-9c03-e69ef767fb01,Diagnostic Imaging Updates,3.9,2025-03-11,Workshop,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227560,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,95cce282-7df2-430f-a92d-f6074595980d,Pharmacology Updates,1.1,2025-02-28,Webinar,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227671,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,335b68e2-acbf-41fb-962c-232bf9d70066,Clinical Research Methods,2.5,2024-12-10,Course,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227415,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,f79cfa16-2a42-49e8-9006-5128d2a19f7a,MD Implicit Bias,2.7,2024-08-20,Webinar,category_1,MD State Medical Board,MD,,,,compliant,2025-11-19T03:58:02.227838,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,34d3d1aa-ad16-47b3-9fa3-a79b67764a02,MI Ethics,2.9,2024-08-13,Workshop,category_1,MI State Medical Board,MI,,,,compliant,2025-11-19T03:58:02.227788,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,ae84ac53-6eab-4643-8f07-32a99ea2d1f0,Patient Safety and Risk Management,0.6,2024-05-23,Self-Study,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227457,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,85281994-70f1-4432-af8f-98c653787c0a,MD Opioid Prescribing Education,2.5,2024-04-10,Webinar,category_1,MD State Medical Board,MD,,,,compliant,2025-11-19T03:58:02.227880,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,323ce080-498b-4e9c-a412-b002e9c64b27,MI Pain Management and Addiction,2.4,2024-03-22,Course,category_1,MI State Medical Board,MI,,,,compliant,2025-11-19T03:58:02.227743,
139134ac-cd33-46e6-a69a-31ac6170af01,provider.multistate7@example.com,Lisa,Anderson,,provider,c51406ed-44b6-484c-bbf7-98fcc9465118,Medical Ethics and Professionalism,3.9,2024-03-21,Webinar,category_1,AMA PRA Category 1,,,,,compliant,2025-11-19T03:58:02.227603,
