License_Number,License_State,License_Type,License_Status,Issue_Date,Expiration_Date,Days_Until_Expiration,Renewal_Cycle_Months,Provider_ID,Provider_NPI,Provider_First_Name,Provider_Last_Name,Provider_Email,Provider_Specialty,Provider_Role,Total_CME_Hours_Required,CME_Renewal_Period_Months,Min_Category1_Hours,Max_Category2_Hours,Opioid_Hours_Required,Pain_Management_Hours_Required,Ethics_Hours_Required,Other_Special_Topics,Compliance_Status,Total_Hours_Required,Total_Hours_Completed,Completion_Percentage,State_Code,Board_Type,Rollover_Allowed,Max_Rollover_Hours
AK-DO-184047,AK,DO,expired,11/23/2021,1/24/2023,-1030,36,48812539-7cc4-4cb9-9ce1-5dce8657dc1a,,Dustin,Gibson,provider.do16@example.com,Emergency Medicine,provider,50,24,50,,0,2,0,,At Risk,50,17,34.00%,AK,COMBINED,Yes,25
AK-DO-292124,AK,DO,active,8/16/2022,3/8/2028,840,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-DO-314938,AK,DO,expired,6/10/2022,9/10/2023,-801,24,1cbaaba9-409f-4660-a290-953ad4c7d469,,Sandra,Hughes,provider.do18@example.com,Psychiatry,provider,50,24,50,,0,2,0,,Behind,50,32,64.00%,AK,COMBINED,Yes,25
AK-DO-317301,AK,DO,expired,12/20/2021,8/5/2028,990,24,6c9bf46c-0d31-4ca2-a2bd-a8cb34ffd5fd,6273968943,Robert,Lane,prov.do9@example.com,Radiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-DO-467227,AK,DO,expired,2/23/2021,8/20/2022,-1187,24,c46e501c-c0b7-4484-a5ab-37cf8b84b276,,Denise,King,provider.do19@example.com,Orthopedics,provider,50,24,50,,0,2,0,,At Risk,50,11,22.00%,AK,COMBINED,Yes,25
AK-DO-550874,AK,DO,expired,2/5/2022,7/17/2026,240,24,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-DO-631486,AK,DO,expired,12/2/2022,7/10/2024,-497,12,f47d66a6-7d64-4b23-b486-840b71343f6f,,Dustin,Gibson,provider.do1@example.com,Dermatology,provider,50,24,50,,0,2,0,,Behind,50,35,70.00%,AK,COMBINED,Yes,25
AK-DO-648211,AK,DO,active,1/10/2023,1/8/2028,780,24,80c12e21-9369-455d-9f6e-378f88c14507,9158068667,Phillip,Morales,prov.do44@example.com,Cardiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-DO-979945,AK,DO,active,7/11/2022,3/19/2026,120,24,022b323c-e64a-4886-a845-e20a0bd08d6a,8903299092,Nicole,Olsen,prov.do39@example.com,Psychiatry,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-DO-998187,AK,DO,expired,5/22/2023,9/21/2024,-424,36,c7308531-b071-4d41-85e5-a90c30dcbe3b,,Tara,Lloyd,provider.do3@example.com,Family Medicine,provider,50,24,50,,0,2,0,,Behind,50,36,72.00%,AK,COMBINED,Yes,25
AK-MD-196899,AK,MD,active,11/17/2020,2/7/2028,810,24,378ff3f0-8aff-4f36-8e30-b84dfa14ca33,7075058915,Nicole,Greene,prov.md5@example.com,Psychiatry,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-MD-322010,AK,MD,expired,8/31/2024,11/10/2025,-9,36,e22cbcb8-d582-43bf-8d70-61e9b3194c62,,Patricia,Wood,provider.md17@example.com,Emergency Medicine,provider,50,24,50,,0,2,0,,Behind,50,36,72.00%,AK,COMBINED,Yes,25
AK-MD-331688,AK,MD,active,7/27/2024,3/8/2028,840,24,d6b2acd1-1527-459d-880d-9d5cf1549c44,2056834210,Cindy,Castro,prov.md12@example.com,Dermatology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-MD-504598,AK,MD,active,12/29/2024,7/6/2028,960,24,edc52402-e3ad-4bd1-a9f4-a95d8eb535f6,9051480099,Zachary,Dixon,prov.md23@example.com,Gastroenterology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-MD-565913,AK,MD,expired,1/24/2023,1/2/2025,-321,12,9be46bc9-4c8b-4e03-af91-b6ac09115dc5,,Jacob,Reed,provider.md2@example.com,Orthopedics,provider,50,24,50,,0,2,0,,Behind,50,29,58.00%,AK,COMBINED,Yes,25
AK-MD-605373,AK,MD,expired,9/27/2021,5/3/2023,-931,24,d04de845-d7ce-426d-ac1a-08f995259610,,Jay,Brock,provider.md20@example.com,Dermatology,provider,50,24,50,,0,2,0,,On Track,50,41,82.00%,AK,COMBINED,Yes,25
AK-MD-803892,AK,MD,active,12/12/2020,5/13/2027,540,24,1b95c543-bae1-4ae6-b55d-58a2daeafb54,4548152315,Erica,Brown,prov.md20@example.com,Pediatrics,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AK-MD-864515,AK,MD,active,5/24/2021,1/13/2027,420,24,6f5c342b-d3f0-4d06-96ba-4adb79528fed,7985248328,Lisa,Hernandez,prov.md14@example.com,Obstetrics and Gynecology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AKDO86097,AK,DO,active,1/29/2020,4/18/2026,150,24,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
